NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Acadian redfish,Sebastes fasciatus,2012,                  10.57,POUND,.9314,a
American plaice,Hippoglossoides platessoides,2012,                 453.15,POUND,.5861,
Atlantic cod,Gadus morhua,2012,                 446.89,POUND,.6231,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                   0.00,POUND,,
Atlantic herring,Clupea harengus,2012,                  77.95,POUND,.6256,
Atlantic mackerel,Scomber scombrus,2012,                 123.10,POUND,.5407,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                 429.15,POUND,.8688,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,"               3,664.87",POUND,.2779,
Bluefish,Pomatomus saltatrix,2012,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2012,                 165.79,POUND,.7753,
Goosefish,Lophius americanus,2012,"           2,026,872.82",POUND,.0887,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,"               5,682.91",POUND,.2818,h
Northern shortfin squid,Illex illecebrosus,2012,                 205.49,POUND,.4141,i
Ocean pout,Zoarces americanus,2012,"               1,565.64",POUND,.3573,
Ocean quahog,Arctica islandica,2012,"               3,395.83",POUND,.5363,
Offshore hake,Merluccius albidus,2012,                 288.02,POUND,.7432,
Pollock,Pollachius virens,2012,                  23.78,POUND,.9288,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,"              34,757.87",POUND,.1922,k
Scup,Stenotomus chrysops,2012,                 782.99,POUND,.5518,
Sea scallop,Placopecten magellanicus,2012,"           1,361,231.39",POUND,.1689,l
Silver hake,Merluccius bilinearis,2012,"              17,268.62",POUND,.1908,m
Skate Complex,Rajidae,2012,"           7,345,600.29",POUND,.0916,n
Spiny dogfish,Squalus acanthias,2012,"             416,107.99",POUND,.1644,
Summer flounder,Paralichthys dentatus,2012,"             370,970.73",POUND,.1315,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                 860.49,POUND,.8934,
Windowpane,Scophthalmus aquosus,2012,"             179,913.54",POUND,.1542,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,"              20,253.21",POUND,.1928,r
Witch flounder,Glyptocephalus cynoglossus,2012,"               3,637.34",POUND,.2141,
Yellowtail flounder,Limanda ferruginea,2012,"              77,565.10",POUND,.1239,s
TOTAL FISHERY BYCATCH,,,"          11,872,355.52",POUND,,
TOTAL FISHERY LANDINGS,,,"         113,631,003.00",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"         125,503,358.52",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.09,,,
Mid-Atlantic Mid-Water Otter Trawl,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2012,                   0.00,POUND,,
